timeOpen,Close,Open,High,Low,volume,Chg.(%)
2022/2/13,42061.10 ,42205.50 ,42725.10 ,41880.10 ,25.88K,(0.00)
2022/2/12,42205.20 ,42388.40 ,43006.40 ,41776.80 ,37.88K,(0.00)
2022/2/11,42388.40 ,43519.30 ,43915.10 ,42023.40 ,69.95K,(0.03)
2022/2/10,43521.00 ,44388.90 ,45755.20 ,43242.50 ,89.69K,(0.02)
2022/2/9,44388.90 ,44038.20 ,44800.40 ,43163.00 ,50.92K,0.01 
2022/2/8,44038.20 ,43833.90 ,45399.80 ,42705.00 ,92.88K,0.00 
2022/2/7,43833.90 ,42385.20 ,44468.30 ,41695.40 ,76.60K,0.03 
2022/2/6,42392.20 ,41411.90 ,42614.80 ,41176.30 ,31.20K,0.02 
2022/2/5,41412.10 ,41566.50 ,41899.80 ,40963.30 ,46.32K,(0.00)
2022/2/4,41567.60 ,37287.80 ,41689.00 ,37041.10 ,95.49K,0.11 
2022/2/3,37287.80 ,36890.20 ,37304.30 ,36297.30 ,50.35K,0.01 
2022/2/2,36890.20 ,38711.20 ,38853.80 ,36682.30 ,53.74K,(0.05)
2022/2/1,38709.70 ,38475.60 ,39230.00 ,38037.90 ,55.20K,0.01 
2022/1/31,38498.60 ,37923.80 ,38701.40 ,36672.80 ,61.27K,0.02 
2022/1/30,37917.70 ,38167.50 ,38313.30 ,37390.60 ,34.10K,(0.01)
2022/1/29,38170.80 ,37736.50 ,38663.70 ,37350.20 ,42.77K,0.01 
2022/1/28,37745.10 ,37195.60 ,37995.90 ,36176.50 ,69.45K,0.02 
2022/1/27,37164.30 ,36800.10 ,37215.40 ,35543.20 ,83.52K,0.01 
2022/1/26,36800.40 ,36962.30 ,38862.60 ,36280.00 ,107.87K,(0.00)
2022/1/25,36950.60 ,36691.30 ,37501.80 ,35729.30 ,79.68K,0.01 
2022/1/24,36686.30 ,36268.60 ,37424.00 ,32985.60 ,153.77K,0.01 
2022/1/23,36269.50 ,35072.90 ,36513.00 ,34655.20 ,70.43K,0.03 
2022/1/22,35075.20 ,36467.70 ,36749.80 ,34116.00 ,138.09K,(0.04)
2022/1/21,36475.50 ,40698.10 ,41104.60 ,35503.90 ,155.80K,(0.10)
2022/1/20,40715.90 ,41683.60 ,43487.10 ,40568.30 ,65.28K,(0.02)
2022/1/19,41677.80 ,42365.30 ,42558.00 ,41160.90 ,53.77K,(0.02)
2022/1/18,42364.60 ,42209.90 ,42674.20 ,41300.70 ,47.32K,0.00 
2022/1/17,42209.30 ,43080.50 ,43179.60 ,41559.40 ,41.44K,(0.02)
2022/1/16,43079.10 ,43079.20 ,43462.00 ,42643.30 ,28.66K,(0.00)
2022/1/15,43097.00 ,43073.60 ,43777.90 ,42586.10 ,31.44K,0.00 
2022/1/14,43073.30 ,42562.20 ,43435.10 ,41848.70 ,50.50K,0.01 
2022/1/13,42560.00 ,43900.00 ,44404.70 ,42337.50 ,53.42K,(0.03)
2022/1/12,43901.00 ,42735.00 ,44243.60 ,42476.70 ,53.95K,0.03 
2022/1/11,42733.20 ,41829.10 ,43090.20 ,41287.60 ,61.78K,0.02 
2022/1/10,41832.20 ,41848.90 ,42243.80 ,39697.00 ,85.50K,(0.00)
2022/1/9,41848.30 ,41681.20 ,42764.40 ,41260.90 ,37.51K,0.00 
2022/1/8,41672.00 ,41551.30 ,42304.40 ,40574.30 ,52.54K,0.00 
2022/1/7,41546.70 ,43097.90 ,43127.70 ,40810.00 ,88.36K,(0.04)
2022/1/6,43097.50 ,43431.60 ,43772.30 ,42481.10 ,63.08K,(0.01)
2022/1/5,43425.90 ,45833.10 ,47019.40 ,42535.10 ,83.74K,(0.05)
