timeOpen,Close,Open,High,Low,volume,Chg.(%)
2017/1/25,894.40 ,893.80 ,905.70 ,883.60 ,37900.00 ,0.00 
2017/1/26,915.60 ,894.40 ,919.30 ,893.50 ,33800.00 ,0.02 
2017/1/27,918.00 ,915.60 ,922.60 ,907.90 ,30970.00 ,0.00 
2017/1/28,918.50 ,918.00 ,921.90 ,912.80 ,14310.00 ,0.00 
2017/1/29,914.50 ,918.50 ,922.40 ,912.70 ,11050.00 ,0.00 
2017/1/30,920.70 ,914.50 ,922.30 ,911.50 ,19060.00 ,0.01 
2017/1/31,965.50 ,920.70 ,967.50 ,917.40 ,54670.00 ,0.05 
2017/2/1,982.40 ,965.50 ,986.60 ,959.80 ,45220.00 ,0.02 
2017/2/2,1004.00 ,982.40 ,1009.10 ,973.50 ,50860.00 ,0.02 
2017/2/3,1013.00 ,1004.00 ,1023.70 ,989.20 ,61670.00 ,0.01 
2017/2/4,1031.80 ,1013.00 ,1041.00 ,1000.40 ,39460.00 ,0.02 
2017/2/5,1016.10 ,1031.80 ,1033.70 ,1004.00 ,31060.00 ,-0.02 
2017/2/6,1024.70 ,1016.10 ,1030.60 ,1010.80 ,32020.000000000004,0.01 
2017/2/7,1049.60 ,1024.70 ,1054.10 ,1019.90 ,39550.00 ,0.02 
2017/2/8,1055.50 ,1049.60 ,1069.20 ,1020.30 ,65150.00000000001,0.01 
2017/2/9,979.00 ,1055.50 ,1073.00 ,924.70 ,146750.00 ,-0.07 
2017/2/10,997.60 ,979.00 ,1005.60 ,947.00 ,62130.00 ,0.02 
2017/2/11,1008.30 ,997.60 ,1014.30 ,983.90 ,28320.00 ,0.01 
2017/2/12,996.50 ,1008.30 ,1007.80 ,992.50 ,14750.00 ,-0.01 
2017/2/13,995.40 ,996.50 ,1007.60 ,975.10 ,32910.00 ,0.00 
2017/2/14,1008.30 ,995.40 ,1013.80 ,986.50 ,39540.00 ,0.01 
2017/2/15,1008.20 ,1008.30 ,1010.90 ,999.70 ,23360.00 ,0.00 
2017/2/16,1031.90 ,1008.20 ,1040.30 ,1007.40 ,38080.00 ,0.02 
2017/2/17,1049.40 ,1031.90 ,1057.40 ,1025.90 ,45710.00 ,0.02 
2017/2/18,1052.30 ,1049.40 ,1063.20 ,1044.70 ,25360.00 ,0.00 
2017/2/19,1048.90 ,1052.30 ,1056.50 ,1037.70 ,17950.00 ,0.00 
2017/2/20,1077.60 ,1048.90 ,1081.80 ,1041.00 ,31010.00 ,0.03 
2017/2/21,1119.00 ,1077.60 ,1123.00 ,1073.50 ,57050.00 ,0.04 
2017/2/22,1120.50 ,1119.00 ,1132.30 ,1094.80 ,47910.00 ,0.00 
2017/2/23,1171.90 ,1120.50 ,1181.60 ,1113.50 ,65740.00 ,0.05 
2017/2/24,1176.50 ,1171.90 ,1211.70 ,1092.40 ,108170.00 ,0.00 
2017/2/25,1149.10 ,1176.50 ,1180.00 ,1116.20 ,45860.00 ,-0.02 
2017/2/26,1171.60 ,1149.10 ,1177.50 ,1130.60 ,30770.00 ,0.02 
2017/2/27,1188.80 ,1171.60 ,1195.80 ,1164.30 ,35470.00 ,0.01 
2017/2/28,1189.30 ,1188.80 ,1208.20 ,1175.80 ,50580.00 ,0.00 
2017/3/1,1222.70 ,1189.30 ,1225.00 ,1154.60 ,51150.00 ,0.03 
2017/3/2,1255.50 ,1222.70 ,1287.00 ,1212.00 ,78490.00 ,0.03 
2017/3/3,1283.30 ,1255.50 ,1291.30 ,1250.80 ,67280.00 ,0.02 
2017/3/4,1264.30 ,1283.30 ,1285.80 ,1228.70 ,38420.00 ,-0.01 
2017/3/5,1271.20 ,1264.30 ,1273.30 ,1242.10 ,25430.00 ,0.01 
2017/3/6,1277.00 ,1271.20 ,1280.60 ,1261.00 ,31030.00 ,0.00 
2017/3/7,1232.70 ,1277.00 ,1280.90 ,1148.70 ,87720.00 ,-0.03 
2017/3/8,1147.00 ,1232.70 ,1242.00 ,1136.90 ,97880.00 ,-0.07 
2017/3/9,1191.30 ,1147.00 ,1207.00 ,1129.30 ,59860.00 ,0.04 
2017/3/10,1112.40 ,1191.30 ,1330.40 ,988.70 ,190470.00 ,-0.07 
2017/3/11,1179.20 ,1112.40 ,1202.70 ,1104.80 ,70750.00 ,0.06 
2017/3/12,1225.10 ,1179.20 ,1235.50 ,1160.90 ,44410.00 ,0.04 
2017/3/13,1238.20 ,1225.10 ,1245.60 ,1205.60 ,60460.00 ,0.01 
2017/3/14,1243.10 ,1238.20 ,1255.50 ,1218.40 ,45140.00 ,0.00 
2017/3/15,1253.40 ,1243.10 ,1256.90 ,1236.40 ,43590.00 ,0.01 
2017/3/16,1172.90 ,1253.40 ,1260.20 ,1119.00 ,132770.00 ,-0.06 
2017/3/17,1071.70 ,1172.90 ,1174.90 ,1063.50 ,163740.00 ,-0.09 
2017/3/18,971.40 ,1071.70 ,1103.60 ,940.20 ,210420.00 ,-0.09 
