,real_close_price_test,predict_price_test_close,predict_price_test_open,predict_price_test_high,predict_price_test_low,,真_价格是否位于__到最高价和最低价之_,,真_价格位于___的概率
172,17112.6,16769.78516,16745.49805,17340.78125,16274.57422,,1,,
173,16966.5,16814.19141,16790.07422,17388.01563,16315.19434,,1,,
174,17089.3,16841.44922,16815.64258,17416.89063,16336.5459,,1,,
175,16835.2,16819.2832,16790.91406,17395.2832,16308.99121,,1,,
176,17225.7,16708.59961,16675.00977,17282.95898,16189.49023,,1,,
177,17125.7,16794.61328,16767.70703,17376.54492,16278.47266,,1,,
178,17127.2,16886.99609,16861.73438,17470.82227,16370.94922,,1,,
179,17093.3,16912.27344,16884.9668,17493.86523,16394.51758,,1,,
180,17210.4,16911.83594,16882.8418,17491.40234,16392.74023,,1,,
181,17778.6,16887.88672,16858.05469,17467.66406,16367.4043,,0,,
182,17796.4,17210.13281,17194.86133,17803.43945,16701.19531,,1,,
183,17356.1,17575.30859,17565.80078,18175.57813,17070.82617,,1,,
184,16629.6,17413.82617,17385.56055,18004.03125,16889.52734,,0,,
185,16777.1,16900.95313,16851.43359,17481.07617,16348.90723,,1,,
186,16741.1,16562.32227,16511.58398,17146.15039,16004.25,,1,,
187,16441.3,16461.93164,16419.02344,17052.58789,15910.64355,,1,,
188,16902.8,16306.75781,16264.42578,16895.55469,15757.89941,,0,,
189,16831.8,16424.98633,16395.61914,17019.94727,15891.22949,,1,,
190,16820.6,16537.04492,16512.05664,17129.16992,16012.56348,,1,,
191,16779.1,16537.50195,16510.73633,17122.02148,16015.7666,,1,,
192,16837.2,16575.22656,16549.23438,17154.12109,16058.01172,,1,,
193,16831.8,16596.52734,16570.51367,17170.51367,16083.68164,,1,,
194,16918.1,16593.11719,16566.26172,17163.01367,16083,,1,,
195,16706.1,16639.97852,16614.86719,17208.89258,16134.31641,,1,,
196,16546.2,16577.70117,16548.52344,17142.87109,16069.28711,,1,,
197,16636.4,16438.11914,16404.13867,16999.60156,15925.17871,,1,,
198,16607.2,16376.11719,16343.39746,16938.52148,15864.7168,,1,,
199,16537.4,16321.44922,16289.36133,16884.25586,15810.86133,,1,,
200,16618.4,16311.50098,16280.96484,16873.90234,15803.00098,,1,,
201,16674.3,16331.32422,16302.82324,16893.07422,15826.52734,,1,,
202,16674.2,16398.42383,16372.79492,16960.16797,15898.2168,,1,,
203,16852.1,16443.14063,16417.75586,17003.17578,15945.18652,,1,,
204,16829.8,16552.74609,16530.58984,17114.55273,16059.27148,,1,,
205,16950.9,16598.47852,16574.7207,17158.9668,16104.83496,,1,,
206,16943.6,16650.55859,16626.85156,17212.21875,16156.70215,,1,,
207,17119,16701.87109,16677.47656,17264.07031,16206.87891,,1,,
208,17180.1,16788.01172,16764.97852,17352.95117,16293.43652,,1,,
209,17439.1,16933.61914,16912.95508,17502.44922,16440.01172,,1,,
210,17942.3,17082.13086,17062.91016,17655.44922,16588.58203,,0,,
211,18851.3,17398.28711,17387.02148,17982.9375,16909.0918,,0,,
212,19927,18101.73242,18109.43164,18708.78125,17625.85547,,0,,
213,20958.2,19029.06641,19052.87109,19660.375,18563.13281,,0,,
214,20879.8,20156.09375,20192.00391,20812.40234,19693.80469,,0,,
215,21184.2,20624.5332,20635.57617,21281.85938,20127.29688,,1,,
216,21137.1,20892.92969,20886.24219,21559.76953,20358.01758,,1,,
217,20670.6,20987.80469,20965.34375,21667.36523,20414.11328,,1,,
218,21081.2,20752.14844,20709.85547,21442.15234,20133.6875,,1,,
219,22677.2,20704.77344,20662.87695,21416.29883,20064.88477,,0,,
220,22775.7,21539.55078,21534.48438,22299.66211,20915.7793,,0,,
221,22707.8,22385.40625,22387.97266,23167.32227,21758.99805,,1,,
222,22915.5,22506.17383,22484.38477,23283.49023,21846.30664,,1,,
223,22632.5,22624.34961,22595.24023,23407.73438,21941.55664,,1,,
224,23055.1,22547.86328,22508.32617,23335.49023,21840.78516,,1,,
225,23016,22741.11914,22710.63281,23548.2207,22028.37109,,1,,
226,23074.6,22780.83984,22746.8125,23596.14648,22057.7168,,1,,
227,23027.9,22783.23047,22748.19336,23606.03516,22051.37695,,1,,
228,23753.1,22763.80859,22727.49414,23589.76758,22026.11523,,0,,
229,22832.2,23178.07813,23160.02344,24020.54492,22454.0625,,1,,
230,23125.1,22896.94531,22857.68555,23729.0332,22148.51758,,1,,
231,23725.6,22788.86523,22751.59766,23623.90625,22036.11523,,0,,
232,23427.6,23091.6875,23072.06641,23942.16211,22351.71094,,1,,
233,23431.2,23356.07813,23338.34375,24207.92188,22619.17969,,1,,
234,23323.8,23252.26953,23222.94336,24095.2793,22507.45898,,1,,
235,22936,23156.68359,23124.29688,23996.89258,22409.76367,,1,,
236,22761.8,22850.98828,22810.15234,23685.82422,22095.66211,,1,,
237,23251.7,22607.55859,22566.7207,23441.84766,21851.88672,,1,,
238,22964.6,22770.77734,22746.46289,23615.72266,22033.63281,,1,,
239,21792.5,22763.73242,22737.52344,23605.46289,22029.67578,,0,,
240,21635,22088.87695,22036.70898,22910.07227,21329.19141,,1,,
241,21859.8,21519.25195,21463.66797,22334.16797,20754.86328,,1,,
242,21786.8,21455.59961,21417.98438,22277.73438,20713.73047,,1,,
243,21772.6,21510.63672,21482.69727,22330.81055,20789.99805,,1,,
244,22198.5,21445.96875,21417.58594,22255.38867,20736.90039,,1,,
245,24327.9,21693.03906,21677.41992,22502.33203,21004.19531,,0,,
246,23539.6,23003.71094,23037.04492,23846.78906,22366.4375,,1,,
247,24573.5,23788.29883,23809.90234,24625.11523,23144.98438,,1,,
248,24631.4,24155.77344,24162.20508,24990.92578,23493.57813,,1,,
249,24302.9,24461.79102,24457.34375,25301.87891,23779.04492,,1,,
250,24839.5,24427.50781,24405.22461,25270.18555,23715.12695,,1,,
251,24450.7,24411.64258,24386.94922,25271.71094,23679.55273,,1,,
252,24186.6,24381.68945,24353.01367,25256.24023,23628.625,,1,,
253,23936.3,23934.86328,23890.35352,24811.99805,23151.04102,,1,,
254,23191.5,23774.04102,23734.625,24662.42773,22980.28906,,1,,
255,23166.1,23233.01367,23180.8457,24116.82617,22419.29102,,1,,
256,23558.7,22814.18945,22764.12305,23697.94531,21999.10547,,1,,
257,23494.1,23026.63672,23001.54883,23921.88672,22239.42383,,1,,
258,23130.5,23180.60938,23161.16406,24070.54883,22410.57031,,1,,
259,23642.2,23026.00781,22997.39648,23898.35938,22258.3418,,1,,
260,23465.4,23212.2832,23196.06641,24084.87891,22463.83594,,1,,
261,22354.4,23241.85742,23222.92578,24106.10547,22499.28711,,0,,
262,22347.1,22559.29102,22513.11523,23401.00195,21790.28906,,1,,
263,22428.3,22119.71289,22074.29688,22957.3418,21350.16797,,1,,
264,22410,22103.79297,22073.75977,22946.81445,21354.42383,,1,,
265,22197.8,22140.89063,22117.05078,22979.86719,21409.75195,,1,,
266,21710.8,22008.48828,21980.52344,22835.39648,21284.36133,,1,,
267,20361.8,21701.25977,21664.76172,22513.27539,20976.41016,,0,,
268,20156.7,20754.20898,20690.39258,21542.00195,20002.34375,,1,,
269,20467.5,19947.90625,19880.73047,20728.45117,19191.00195,,1,,
270,21994.8,19928.69141,19889.92383,20722.33594,19203.17188,,0,,
271,24114.4,20841.24414,20850.73242,21661.94727,20173.01563,,0,,
272,24699.7,22738.04883,22802.86328,23592.69531,22137.58984,,0,,
273,24282.7,24535.57031,24607.81836,25394.21289,23957.4082,,1,,
274,25004.1,24524.10352,24530.90039,25346.26953,23886.63867,,1,,
275,27391.8,24674.22461,24667.44141,25505.90234,24003.26758,,0,,
276,26914.5,26248.76563,26291.4043,27146.14063,25600.1582,,1,,
277,27958.7,26898.57617,26912.29688,27809.44727,26207.18164,,0,,
278,27720.5,27508.78906,27514.82031,28444.47852,26783.06836,,1,,
279,28114,27608.84375,27592.30469,28561.57813,26830.57813,,1,,
280,27261.7,27740.20313,27720.42188,28719.59375,26925.57031,,1,,
281,28310.7,27346.24219,27307.39258,28341.17773,26479.21875,,1,,
282,27462.2,27718.58203,27706.83398,28753.6582,26849.05078,,1,,
283,27475.6,27368.25586,27336.91797,28408.32422,26464.22266,,1,,
284,27973.5,27170.32422,27141.46875,28217.49609,26255.82031,,1,,
285,27129.8,27477.14258,27469.45313,28539.09961,26581.125,,1,,
286,27262.2,27008.69141,26980.56055,28056.35938,26093.89844,,1,,
287,28350.4,26832.54492,26812.54883,27879.85547,25922.04883,,0,,
288,28029.5,27651.02539,27671.8457,28720.41016,26783.94141,,1,,
289,28473.7,27992.06641,28005.12109,29051.78711,27131.25391,,1,,
290,28456.1,28014.58203,28018.19727,29065.01953,27149.54102,,1,,
